time_iso8601,stars_cumulative
2023-08-16 00:00:00+00:00,1
2023-08-19 00:00:00+00:00,2
2023-08-23 00:00:00+00:00,6
2023-08-25 00:00:00+00:00,8
2023-08-26 00:00:00+00:00,11
2023-08-27 00:00:00+00:00,12
2023-08-29 00:00:00+00:00,13
2023-09-01 00:00:00+00:00,14
2023-09-12 00:00:00+00:00,15
2023-09-14 00:00:00+00:00,16
2023-10-09 00:00:00+00:00,17
2024-02-02 00:00:00+00:00,18
2025-08-06 00:00:00+00:00,19
2025-08-11 00:00:00+00:00,20
2025-10-16 00:00:00+00:00,21
2025-11-10 00:00:00+00:00,22
2025-12-25 00:00:00+00:00,23
2026-02-20 00:00:00+00:00,24
2026-02-25 00:00:00+00:00,25
2026-09-04 00:00:00+00:00,26
