time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-05 00:00:00+00:00,6,5,1574,56
2023-09-06 00:00:00+00:00,1,1,2086,75
2023-09-07 00:00:00+00:00,0,0,2826,116
2023-09-08 00:00:00+00:00,4,3,2667,116
2023-09-09 00:00:00+00:00,6,5,4852,144
2023-09-10 00:00:00+00:00,22,9,24984,562
2023-09-11 00:00:00+00:00,4,3,1578,111
2023-09-12 00:00:00+00:00,2,2,2781,115
2023-09-13 00:00:00+00:00,78,10,7030,251
2023-09-14 00:00:00+00:00,42,7,1476,48
2023-09-15 00:00:00+00:00,7,4,1973,93
2023-09-16 00:00:00+00:00,10,4,2403,86
2023-09-17 00:00:00+00:00,0,0,2432,85
2023-09-18 00:00:00+00:00,11,8,1673,67
2023-09-19 00:00:00+00:00,15,8,400,23
2023-09-20 00:00:00+00:00,6,4,742,36
2023-09-21 00:00:00+00:00,8,5,611,40
2023-09-22 00:00:00+00:00,11,6,2909,93
2023-09-23 00:00:00+00:00,6,3,4458,131
2023-09-24 00:00:00+00:00,4,3,2334,70
2023-09-25 00:00:00+00:00,3,3,1740,54
2023-09-26 00:00:00+00:00,1,1,4283,129
2023-09-27 00:00:00+00:00,2,2,12549,359
2023-09-28 00:00:00+00:00,8,6,28783,894
2023-09-29 00:00:00+00:00,1,1,2639,144
2023-09-30 00:00:00+00:00,10,2,3205,116
2023-10-01 00:00:00+00:00,322,7,4867,151
2023-10-02 00:00:00+00:00,3,3,12002,380
2023-10-03 00:00:00+00:00,1,1,331,51
2023-10-04 00:00:00+00:00,3,3,391,64
2023-10-05 00:00:00+00:00,1,1,336,62
2023-10-06 00:00:00+00:00,2,2,358,60
2023-10-07 00:00:00+00:00,1,1,278,37
2023-10-08 00:00:00+00:00,21,4,285,35
2023-10-09 00:00:00+00:00,2,2,911,62
